"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
291234,4616,8876,1770,3330,1804,837,98613,1
747406,15005,8313,4086,11639,3219,763,75345,
2094621,2459,6600,19882,8163,2323,1293,80242,
757755,37146,24830,31860,20910,11344,8185,452195,
569225,5081,610,565,2592,609,241,20176,
204842,2950,5756,1955,1141,1164,577,101625,
1314883,2161,2231,4464,1892,605,253,19879,
557033,41845,85093,104055,84231,19913,8874,225573,
1761121,39722,38057,14093,12903,7237,4123,159613,
590552,11686,17342,9291,12928,7747,2578,136178,
419493,13107,7980,4134,2651,1385,600,8652,
91217,3200,5253,11714,6300,1778,777,112722,
2112037,4493,28299,27812,15072,6661,3711,693596,
1419697,11304,13140,37420,19257,4245,3430,52997,
872489,11357,3877,19416,7112,2992,1711,146267,
299530,16112,4973,12503,6986,3828,1821,85317,
719696,1560,2931,12462,9590,4014,1127,80597,
734606,29916,16147,26799,13936,13880,2889,138782,
210430,32229,10120,52146,37072,3577,3027,376024,
1552252,13891,24084,17262,50387,6758,2679,480040,
277139,9631,19370,29811,27788,3345,1071,102550,
913735,46949,25137,10377,57597,6726,4974,159919,
1512139,160673,40071,60908,27406,4087,6086,173705,
722206,28608,6966,31387,6438,6982,1742,19853,
1736246,12290,20785,20854,18741,3881,4360,51041,
196945,13220,14243,44950,18820,8072,6441,95025,
665617,4996,5501,16459,5703,2214,892,42318,
909468,32055,28055,66718,26426,3668,9354,153267,
1320469,47086,14154,34972,32725,6357,2793,86799,
249403,31696,19395,51981,18547,16620,10070,360029,
